timestamp,value,outputvalue,voltage
12/43/53/726551,6,8873.2611,6
12/43/53/726564,10,15326.5419,10
12/43/53/726572,5,7259.9409000000005,5
12/43/53/726580,9,13713.221700000002,9
12/43/53/726588,4,5646.6207,4
12/43/53/726595,5,7259.9409000000005,5
12/43/53/726602,7,10486.581300000002,7
12/43/53/726610,10,15326.5419,10
12/43/53/726617,1,806.6601,1
12/43/53/726624,3,4033.3005000000003,3
12/43/54/727112,3,4033.3005000000003,3
12/43/54/727140,5,7259.9409000000005,5
12/43/54/727149,2,2419.9803,2
12/43/54/727157,8,12099.9015,8
12/43/54/727164,5,7259.9409000000005,5
12/43/54/727171,5,7259.9409000000005,5
12/43/54/727179,10,15326.5419,10
12/43/54/727186,10,15326.5419,10
12/43/54/727193,7,10486.581300000002,7
12/43/54/727200,2,2419.9803,2
12/43/55/727703,4,5646.6207,4
12/43/55/727733,6,8873.2611,6
12/43/55/727743,2,2419.9803,2
12/43/55/727751,7,10486.581300000002,7
12/43/55/727758,1,806.6601,1
12/43/55/727766,4,5646.6207,4
12/43/55/727773,5,7259.9409000000005,5
12/43/55/727783,6,8873.2611,6
12/43/55/727790,4,5646.6207,4
12/43/55/727797,2,2419.9803,2
12/43/56/728230,3,4033.3005000000003,3
12/43/56/728252,2,2419.9803,2
12/43/56/728260,5,7259.9409000000005,5
12/43/56/728269,10,15326.5419,10
12/43/56/728276,4,5646.6207,4
12/43/56/728283,7,10486.581300000002,7
12/43/56/728290,10,15326.5419,10
12/43/56/728297,2,2419.9803,2
12/43/56/728304,3,4033.3005000000003,3
12/43/56/728311,8,12099.9015,8
12/43/57/728750,6,8873.2611,6
12/43/57/728775,7,10486.581300000002,7
12/43/57/728784,1,806.6601,1
12/43/57/728791,3,4033.3005000000003,3
12/43/57/728799,2,2419.9803,2
12/43/57/728806,6,8873.2611,6
12/43/57/728813,7,10486.581300000002,7
12/43/57/728821,4,5646.6207,4
12/43/57/728828,8,12099.9015,8
12/43/57/728835,3,4033.3005000000003,3
12/43/58/729284,6,8873.2611,6
12/43/58/729305,9,13713.221700000002,9
12/43/58/729314,7,10486.581300000002,7
12/43/58/729321,5,7259.9409000000005,5
12/43/58/729329,9,13713.221700000002,9
12/43/58/729336,5,7259.9409000000005,5
12/43/58/729343,10,15326.5419,10
12/43/58/729350,1,806.6601,1
12/43/58/729357,5,7259.9409000000005,5
12/43/58/729364,10,15326.5419,10
12/43/59/729832,7,10486.581300000002,7
12/43/59/729858,10,15326.5419,10
12/43/59/729867,7,10486.581300000002,7
12/43/59/729874,4,5646.6207,4
12/43/59/729882,6,8873.2611,6
12/43/59/729890,9,13713.221700000002,9
12/43/59/729897,1,806.6601,1
12/43/59/729904,10,15326.5419,10
12/43/59/729911,1,806.6601,1
12/43/59/729918,5,7259.9409000000005,5
12/44/00/730350,8,12099.9015,8
12/44/00/730371,2,2419.9803,2
12/44/00/730380,7,10486.581300000002,7
12/44/00/730388,9,13713.221700000002,9
12/44/00/730395,4,5646.6207,4
12/44/00/730402,10,15326.5419,10
12/44/00/730410,5,7259.9409000000005,5
12/44/00/730418,8,12099.9015,8
12/44/00/730425,10,15326.5419,10
12/44/00/730431,8,12099.9015,8
12/44/01/730891,8,12099.9015,8
12/44/01/730923,5,7259.9409000000005,5
12/44/01/730932,6,8873.2611,6
12/44/01/730940,10,15326.5419,10
12/44/01/730948,5,7259.9409000000005,5
12/44/01/730956,3,4033.3005000000003,3
12/44/01/730963,2,2419.9803,2
12/44/01/730970,8,12099.9015,8
12/44/01/730977,2,2419.9803,2
12/44/01/730984,4,5646.6207,4
12/44/02/731320,3,4033.3005000000003,3
12/44/02/731339,7,10486.581300000002,7
12/44/02/731348,10,15326.5419,10
12/44/02/731356,3,4033.3005000000003,3
12/44/02/731363,9,13713.221700000002,9
12/44/02/731371,2,2419.9803,2
12/44/02/731377,9,13713.221700000002,9
12/44/02/731384,5,7259.9409000000005,5
12/44/02/731391,3,4033.3005000000003,3
12/44/02/731398,2,2419.9803,2
12/44/03/731863,4,5646.6207,4
12/44/03/731883,3,4033.3005000000003,3
12/44/03/731892,6,8873.2611,6
12/44/03/731900,1,806.6601,1
12/44/03/731907,8,12099.9015,8
12/44/03/731914,7,10486.581300000002,7
12/44/03/731921,7,10486.581300000002,7
12/44/03/731928,5,7259.9409000000005,5
12/44/03/731937,10,15326.5419,10
12/44/03/731944,4,5646.6207,4
12/44/04/732389,7,10486.581300000002,7
12/44/04/732411,8,12099.9015,8
12/44/04/732419,3,4033.3005000000003,3
12/44/04/732427,5,7259.9409000000005,5
12/44/04/732435,6,8873.2611,6
12/44/04/732442,4,5646.6207,4
12/44/04/732449,1,806.6601,1
12/44/04/732456,7,10486.581300000002,7
12/44/04/732463,9,13713.221700000002,9
12/44/04/732470,5,7259.9409000000005,5
12/44/05/732934,1,806.6601,1
12/44/05/732958,9,13713.221700000002,9
12/44/05/732966,9,13713.221700000002,9
12/44/05/732974,8,12099.9015,8
12/44/05/732981,8,12099.9015,8
12/44/05/732988,9,13713.221700000002,9
12/44/05/732996,3,4033.3005000000003,3
12/44/05/733003,1,806.6601,1
12/44/05/733011,1,806.6601,1
12/44/05/733018,8,12099.9015,8
